scheme,time_ns,time_us,queue_bytes
dcqcn,2000176000,176.0,707400
dcqcn,2000177000,177.0,706352
dcqcn,2000178000,178.0,704256
dcqcn,2000179000,179.0,702160
dcqcn,2000180000,180.0,701112
dcqcn,2000181000,181.0,699016
dcqcn,2000182000,182.0,697968
dcqcn,2000183000,183.0,696920
dcqcn,2000184000,184.0,694824
dcqcn,2000185000,185.0,693776
dcqcn,2000186000,186.0,691680
dcqcn,2000187000,187.0,689584
dcqcn,2000188000,188.0,688536
dcqcn,2000189000,189.0,686440
dcqcn,2000190000,190.0,685392
dcqcn,2000191000,191.0,683296
dcqcn,2000192000,192.0,681200
dcqcn,2000193000,193.0,680152
dcqcn,2000194000,194.0,679104
dcqcn,2000195000,195.0,677008
dcqcn,2000196000,196.0,675960
dcqcn,2000197000,197.0,673864
dcqcn,2000198000,198.0,671768
dcqcn,2000199000,199.0,670720
dcqcn,2000200000,200.0,668624
dcqcn,2000201000,201.0,667576
dcqcn,2000202000,202.0,667576
dcqcn,2000203000,203.0,665480
dcqcn,2000204000,204.0,664432
dcqcn,2000205000,205.0,662336
dcqcn,2000206000,206.0,660240
dcqcn,2000207000,207.0,659192
dcqcn,2000208000,208.0,657096
dcqcn,2000209000,209.0,656048
dcqcn,2000210000,210.0,655000
dcqcn,2000211000,211.0,652904
dcqcn,2000212000,212.0,651856
dcqcn,2000213000,213.0,649760
dcqcn,2000214000,214.0,646616
dcqcn,2000215000,215.0,644520
dcqcn,2000216000,216.0,641376
dcqcn,2000217000,217.0,640328
dcqcn,2000218000,218.0,639280
dcqcn,2000219000,219.0,636136
dcqcn,2000220000,220.0,632992
dcqcn,2000221000,221.0,629848
dcqcn,2000222000,222.0,627752
dcqcn,2000223000,223.0,626704
dcqcn,2000224000,224.0,624608
dcqcn,2000225000,225.0,621464
dcqcn,2000226000,226.0,618320
dcqcn,2000227000,227.0,616224
dcqcn,2000228000,228.0,615176
dcqcn,2000229000,229.0,613080
dcqcn,2000230000,230.0,609936
dcqcn,2000231000,231.0,606792
dcqcn,2000232000,232.0,603648
dcqcn,2000233000,233.0,602600
dcqcn,2000234000,234.0,601552
dcqcn,2000235000,235.0,598408
dcqcn,2000236000,236.0,595264
dcqcn,2000237000,237.0,592120
dcqcn,2000238000,238.0,590024
dcqcn,2000239000,239.0,588976
dcqcn,2000240000,240.0,586880
dcqcn,2000241000,241.0,583736
dcqcn,2000242000,242.0,580592
dcqcn,2000243000,243.0,578496
dcqcn,2000244000,244.0,577448
dcqcn,2000245000,245.0,575352
dcqcn,2000246000,246.0,572208
dcqcn,2000247000,247.0,569064
dcqcn,2000248000,248.0,565920
dcqcn,2000249000,249.0,563824
dcqcn,2000250000,250.0,562776
dcqcn,2000251000,251.0,560680
dcqcn,2000252000,252.0,557536
dcqcn,2000253000,253.0,554392
dcqcn,2000254000,254.0,552296
dcqcn,2000255000,255.0,551248
dcqcn,2000256000,256.0,549152
dcqcn,2000257000,257.0,546008
dcqcn,2000258000,258.0,542864
dcqcn,2000259000,259.0,539720
dcqcn,2000260000,260.0,538672
dcqcn,2000261000,261.0,537624
dcqcn,2000262000,262.0,534480
dcqcn,2000263000,263.0,531336
dcqcn,2000264000,264.0,528192
dcqcn,2000265000,265.0,526096
dcqcn,2000266000,266.0,525048
dcqcn,2000267000,267.0,522952
dcqcn,2000268000,268.0,519808
dcqcn,2000269000,269.0,517712
dcqcn,2000270000,270.0,514568
dcqcn,2000271000,271.0,512472
dcqcn,2000272000,272.0,509328
dcqcn,2000273000,273.0,506184
dcqcn,2000274000,274.0,503040
dcqcn,2000275000,275.0,499896
dcqcn,2000276000,276.0,498848
dcqcn,2000277000,277.0,496752
dcqcn,2000278000,278.0,493608
dcqcn,2000279000,279.0,490464
dcqcn,2000280000,280.0,487320
dcqcn,2000281000,281.0,484176
dcqcn,2000282000,282.0,482080
dcqcn,2000283000,283.0,478936
dcqcn,2000284000,284.0,475792
dcqcn,2000285000,285.0,472648
dcqcn,2000286000,286.0,470552
dcqcn,2000287000,287.0,468456
dcqcn,2000288000,288.0,466360
dcqcn,2000289000,289.0,463216
dcqcn,2000290000,290.0,460072
dcqcn,2000291000,291.0,456928
dcqcn,2000292000,292.0,453784
dcqcn,2000293000,293.0,451688
dcqcn,2000294000,294.0,448544
dcqcn,2000295000,295.0,445400
dcqcn,2000296000,296.0,442256
dcqcn,2000297000,297.0,440160
dcqcn,2000298000,298.0,438064
dcqcn,2000299000,299.0,435968
dcqcn,2000300000,300.0,432824
dcqcn,2000301000,301.0,429680
dcqcn,2000302000,302.0,426536
dcqcn,2000303000,303.0,424440
dcqcn,2000304000,304.0,421296
dcqcn,2000305000,305.0,418152
dcqcn,2000306000,306.0,415008
dcqcn,2000307000,307.0,411864
dcqcn,2000308000,308.0,409768
dcqcn,2000309000,309.0,407672
dcqcn,2000310000,310.0,405576
dcqcn,2000311000,311.0,402432
dcqcn,2000312000,312.0,399288
dcqcn,2000313000,313.0,396144
dcqcn,2000314000,314.0,394048
dcqcn,2000315000,315.0,390904
dcqcn,2000316000,316.0,387760
dcqcn,2000317000,317.0,384616
dcqcn,2000318000,318.0,381472
dcqcn,2000319000,319.0,380424
dcqcn,2000320000,320.0,378328
dcqcn,2000321000,321.0,375184
dcqcn,2000322000,322.0,372040
dcqcn,2000323000,323.0,368896
dcqcn,2000324000,324.0,365752
dcqcn,2000325000,325.0,363656
dcqcn,2000326000,326.0,360512
dcqcn,2000327000,327.0,357368
dcqcn,2000328000,328.0,354224
dcqcn,2000329000,329.0,351080
dcqcn,2000330000,330.0,347936
dcqcn,2000331000,331.0,344792
dcqcn,2000332000,332.0,341648
dcqcn,2000333000,333.0,338504
dcqcn,2000334000,334.0,335360
dcqcn,2000335000,335.0,332216
dcqcn,2000336000,336.0,330120
dcqcn,2000337000,337.0,326976
dcqcn,2000338000,338.0,323832
dcqcn,2000339000,339.0,320688
dcqcn,2000340000,340.0,318592
dcqcn,2000341000,341.0,316496
dcqcn,2000342000,342.0,314400
dcqcn,2000343000,343.0,311256
