time_ns,aggregate_sending_gbps,aggregate_capacity_gbps,aggregate_utilization
2000001000,0.0,125.0,0.0
2000002000,12.864,125.0,0.102912
2000003000,34.112,125.0,0.272896
2000004000,25.632,125.0,0.20505600000000002
2000005000,12.703999999999999,125.0,0.10163199999999999
2000006000,1.44,125.0,0.011519999999999999
2000007000,1.44,125.0,0.011519999999999999
2000008000,51.072,125.0,0.408576
2000009000,50.304,125.0,0.402432
2000010000,18.432000000000002,125.0,0.147456
2000011000,3.36,125.0,0.026879999999999998
2000012000,11.264,125.0,0.090112
2000013000,14.592,125.0,0.116736
2000014000,0.0,125.0,0.0
2000015000,31.072000000000003,125.0,0.24857600000000002
2000016000,25.632,125.0,0.20505600000000002
2000017000,27.168,125.0,0.21734399999999998
2000018000,20.416000000000004,125.0,0.16332800000000003
2000019000,27.168,125.0,0.21734399999999998
2000020000,32.032,125.0,0.256256
2000021000,12.224,125.0,0.097792
2000022000,1.92,125.0,0.015359999999999999
2000023000,51.744,125.0,0.413952
2000024000,53.76,125.0,0.43007999999999996
2000025000,26.592000000000002,125.0,0.212736
2000026000,32.928000000000004,125.0,0.26342400000000005
2000027000,2.208,125.0,0.017664000000000003
2000028000,2.4,125.0,0.0192
2000029000,5.44,125.0,0.04352
2000030000,0.0,125.0,0.0
2000031000,0.0,125.0,0.0
2000032000,35.168000000000006,125.0,0.28134400000000004
2000033000,25.152,125.0,0.201216
2000034000,27.552,125.0,0.220416
2000035000,16.8,125.0,0.13440000000000002
2000036000,1.44,125.0,0.011519999999999999
2000037000,2.4,125.0,0.0192
2000038000,16.768,125.0,0.134144
2000039000,34.112,125.0,0.272896
2000040000,25.632,125.0,0.20505600000000002
2000041000,31.072000000000003,125.0,0.24857600000000002
2000042000,53.28,125.0,0.42624
2000043000,60.608000000000004,125.0,0.484864
2000044000,53.023999999999994,125.0,0.42419199999999996
2000045000,53.664,125.0,0.429312
2000046000,54.623999999999995,125.0,0.43699199999999994
2000047000,39.872,125.0,0.318976
2000048000,34.431999999999995,125.0,0.275456
2000049000,46.24,125.0,0.36992
2000050000,54.432,125.0,0.435456
2000051000,28.512,125.0,0.228096
2000052000,22.048000000000002,125.0,0.176384
2000053000,16.032,125.0,0.128256
2000054000,39.456,125.0,0.31564800000000004
2000055000,51.744,125.0,0.413952
2000056000,61.28,125.0,0.49024
2000057000,74.912,125.0,0.599296
2000058000,90.944,125.0,0.727552
2000059000,70.94399999999999,125.0,0.567552
2000060000,48.64,125.0,0.38912
2000061000,30.464000000000002,125.0,0.243712
2000062000,27.552,125.0,0.220416
2000063000,48.8,125.0,0.39039999999999997
2000064000,10.719999999999999,125.0,0.08575999999999999
2000065000,2.4,125.0,0.0192
2000066000,2.4,125.0,0.0192
2000067000,4.960000000000001,125.0,0.03968000000000001
2000068000,0.0,125.0,0.0
2000069000,34.016000000000005,125.0,0.27212800000000004
2000070000,43.648,125.0,0.34918400000000005
2000071000,2.112,125.0,0.016896
2000072000,24.608000000000004,125.0,0.19686400000000004
2000073000,24.608,125.0,0.196864
2000074000,25.728,125.0,0.205824
2000075000,22.24,125.0,0.17792
2000076000,18.208000000000002,125.0,0.14566400000000002
2000077000,7.168,125.0,0.057344
2000078000,8.864,125.0,0.070912
2000079000,31.072000000000003,125.0,0.24857600000000002
2000080000,34.112,125.0,0.272896
2000081000,16.224,125.0,0.129792
2000082000,27.648,125.0,0.221184
2000083000,3.6479999999999997,125.0,0.029183999999999998
2000084000,17.728,125.0,0.141824
2000085000,19.36,125.0,0.15488
2000086000,25.632,125.0,0.20505600000000002
2000087000,41.088,125.0,0.328704
2000088000,10.495999999999999,125.0,0.08396799999999999
2000089000,20.32,125.0,0.16256
2000090000,27.072000000000003,125.0,0.21657600000000002
2000091000,15.936,125.0,0.127488
2000092000,5.44,125.0,0.04352
2000093000,1.92,125.0,0.015359999999999999
2000094000,4.960000000000001,125.0,0.03968000000000001
2000095000,8.96,125.0,0.07168000000000001
2000096000,9.440000000000001,125.0,0.07552
2000097000,17.728,125.0,0.141824
2000098000,26.688000000000002,125.0,0.21350400000000003
2000099000,16.768,125.0,0.134144
2000100000,59.104,125.0,0.472832
2000101000,36.224000000000004,125.0,0.28979200000000005
2000102000,39.68000000000001,125.0,0.31744000000000006
2000103000,26.592000000000002,125.0,0.212736
2000104000,67.776,125.0,0.542208
2000105000,36.512,125.0,0.292096
2000106000,33.47200000000001,125.0,0.26777600000000007
2000107000,46.336,125.0,0.37068799999999996
2000108000,43.84,125.0,0.35072000000000003
2000109000,38.336,125.0,0.30668799999999996
2000110000,25.567999999999998,125.0,0.20454399999999998
2000111000,49.760000000000005,125.0,0.39808000000000004
2000112000,56.256,125.0,0.450048
2000113000,35.936,125.0,0.287488
2000114000,28.992,125.0,0.231936
2000115000,50.432,125.0,0.40345600000000004
2000116000,30.336,125.0,0.242688
2000117000,27.648000000000003,125.0,0.22118400000000002
2000118000,16.16,125.0,0.12928
2000119000,24.224,125.0,0.193792
2000120000,2.016,125.0,0.016128
2000121000,17.728,125.0,0.141824
2000122000,11.168000000000001,125.0,0.089344
2000123000,13.344000000000001,125.0,0.10675200000000001
2000124000,6.976,125.0,0.055807999999999996
2000125000,0.48,125.0,0.0038399999999999997
2000126000,14.879999999999999,125.0,0.11903999999999999
2000127000,12.864,125.0,0.102912
2000128000,40.608000000000004,125.0,0.32486400000000004
2000129000,23.264000000000003,125.0,0.18611200000000003
2000130000,37.760000000000005,125.0,0.30208
2000131000,20.320000000000004,125.0,0.16256000000000004
2000132000,12.32,125.0,0.09856000000000001
2000133000,19.840000000000003,125.0,0.15872000000000003
2000134000,26.880000000000003,125.0,0.21504
2000135000,11.456000000000003,125.0,0.09164800000000002
2000136000,1.44,125.0,0.011519999999999999
2000137000,19.456000000000003,125.0,0.15564800000000004
2000138000,8.384,125.0,0.067072
2000139000,2.016,125.0,0.016128
2000140000,4.48,125.0,0.035840000000000004
2000141000,13.824000000000002,125.0,0.11059200000000001
2000142000,38.496,125.0,0.307968
2000143000,39.648,125.0,0.317184
2000144000,37.952,125.0,0.303616
2000145000,17.472,125.0,0.139776
2000146000,37.76,125.0,0.30207999999999996
2000147000,34.976,125.0,0.279808
2000148000,46.239999999999995,125.0,0.36991999999999997
2000149000,25.664,125.0,0.20531200000000002
2000150000,8.8,125.0,0.0704
2000151000,2.88,125.0,0.023039999999999998
2000152000,4.960000000000001,125.0,0.03968000000000001
2000153000,8.384,125.0,0.067072
2000154000,25.632,125.0,0.20505600000000002
2000155000,29.632,125.0,0.23705600000000002
2000156000,53.184000000000005,125.0,0.425472
2000157000,29.471999999999998,125.0,0.23577599999999999
2000158000,3.6479999999999997,125.0,0.029183999999999998
2000159000,7.36,125.0,0.05888
2000160000,18.496000000000002,125.0,0.14796800000000002
2000161000,26.208,125.0,0.209664
2000162000,48.416000000000004,125.0,0.387328
2000163000,35.648,125.0,0.28518400000000005
2000164000,22.048000000000002,125.0,0.176384
2000165000,2.88,125.0,0.023039999999999998
2000166000,18.208,125.0,0.145664
2000167000,18.784,125.0,0.150272
2000168000,16.768,125.0,0.134144
2000169000,45.472,125.0,0.363776
2000170000,14.976,125.0,0.11980800000000001
2000171000,6.880000000000001,125.0,0.055040000000000006
2000172000,19.456000000000003,125.0,0.15564800000000004
2000173000,9.920000000000002,125.0,0.07936000000000001
2000174000,9.824,125.0,0.078592
2000175000,25.152,125.0,0.201216
2000176000,26.112000000000002,125.0,0.20889600000000003
2000177000,27.168,125.0,0.21734399999999998
2000178000,31.072000000000003,125.0,0.24857600000000002
2000179000,27.072000000000003,125.0,0.21657600000000002
2000180000,43.93600000000001,125.0,0.3514880000000001
2000181000,44.512,125.0,0.356096
2000182000,44.32,125.0,0.35456
2000183000,53.664,125.0,0.429312
2000184000,55.29600000000001,125.0,0.44236800000000004
2000185000,71.00800000000001,125.0,0.5680640000000001
2000186000,68.928,125.0,0.551424
2000187000,87.77600000000001,125.0,0.702208
2000188000,64.256,125.0,0.514048
2000189000,83.712,125.0,0.6696960000000001
2000190000,58.592,125.0,0.468736
2000191000,27.136,125.0,0.217088
2000192000,5.76,125.0,0.046079999999999996
2000193000,11.744000000000003,125.0,0.09395200000000002
2000194000,43.264,125.0,0.34611200000000003
2000195000,26.880000000000003,125.0,0.21504
2000196000,12.512,125.0,0.100096
2000197000,19.744,125.0,0.157952
2000198000,35.744,125.0,0.285952
2000199000,22.4,125.0,0.1792
2000200000,44.8,125.0,0.3584
2000201000,32.8,125.0,0.26239999999999997
2000202000,36.896,125.0,0.295168
2000203000,46.431999999999995,125.0,0.37145599999999995
2000204000,15.936,125.0,0.127488
2000205000,28.032000000000004,125.0,0.22425600000000004
2000206000,31.552000000000003,125.0,0.25241600000000003
2000207000,36.416000000000004,125.0,0.29132800000000003
2000208000,27.072000000000003,125.0,0.21657600000000002
2000209000,21.567999999999998,125.0,0.17254399999999998
2000210000,10.4,125.0,0.0832
2000211000,1.92,125.0,0.015359999999999999
2000212000,5.44,125.0,0.04352
2000213000,4.48,125.0,0.035840000000000004
2000214000,0.48,125.0,0.0038399999999999997
2000215000,34.112,125.0,0.272896
2000216000,26.784,125.0,0.214272
2000217000,2.6879999999999997,125.0,0.021504
2000218000,14.784,125.0,0.118272
2000219000,1.536,125.0,0.012288
2000220000,21.728,125.0,0.173824
2000221000,6.208,125.0,0.049664
2000222000,4.960000000000001,125.0,0.03968000000000001
2000223000,1.92,125.0,0.015359999999999999
2000224000,18.016000000000002,125.0,0.144128
2000225000,8.96,125.0,0.07168000000000001
2000226000,9.440000000000001,125.0,0.07552
2000227000,1.92,125.0,0.015359999999999999
2000228000,0.48,125.0,0.0038399999999999997
2000229000,0.48,125.0,0.0038399999999999997
2000230000,8.384,125.0,0.067072
2000231000,21.824,125.0,0.17459200000000002
