time_ns,max_queue_bytes,max_total_buffer_bytes
2000794000,96,96
2000804000,72,72
2000805000,1048,1048
2000806000,1144,1144
2000807000,240,240
2000811000,96,96
2000816000,560,560
2000819000,432,432
2000821000,560,560
2000822000,1048,1048
2000823000,1048,1048
2000824000,1048,1048
2000825000,144,240
2000830000,1120,1120
2000831000,72,72
2000833000,1048,1048
2000834000,1048,1048
2000835000,240,312
2000849000,1048,1192
2000850000,144,144
2000851000,96,96
2000852000,1608,2656
2000853000,1048,1048
2000859000,72,72
2000864000,1120,1264
2000866000,560,632
2000867000,1144,1144
2000868000,1120,1120
2000875000,1048,1048
2000876000,240,336
2000878000,96,96
2000881000,144,144
2000884000,96,96
2000886000,72,72
2000888000,72,72
2000890000,144,144
2000891000,72,72
2000892000,96,96
2000906000,1048,1192
2000907000,2096,2096
2000908000,2096,2096
2000909000,2096,2192
2000910000,1048,2096
2000911000,1048,1048
2000914000,96,168
2000917000,72,72
2000918000,1120,1120
2000919000,1216,2408
2000921000,96,96
2000931000,1192,1288
2000932000,72,72
2000933000,1048,1048
2000934000,704,704
2000958000,4288,4288
2000959000,6288,6360
2000960000,8384,8384
2000961000,9432,9432
2000962000,11840,11984
2000963000,11352,11352
2000964000,8640,8928
2000965000,7688,7688
2000966000,4232,4232
2000967000,1144,1144
2000970000,72,72
2000973000,144,144
2000974000,1048,1048
2000975000,432,528
2000979000,96,96
2000982000,72,72
2000983000,632,704
2000986000,1048,1048
2000992000,1048,1048
2000993000,1048,1048
2000994000,3800,3800
2000995000,3704,3704
2000996000,2096,2096
2000997000,2168,2168
2000998000,2696,2696
2000999000,1048,1048
2001000000,1216,1216
2001001000,1048,1048
2001002000,5240,5240
2001003000,13624,13624
2001004000,20960,20960
2001005000,28464,28464
2001006000,35800,35800
2001007000,44184,44256
2001008000,52568,52568
2001009000,59904,59904
2001010000,66192,66192
2001011000,74576,74576
2001012000,80864,80864
2001013000,89176,89176
2001014000,97560,97560
2001015000,107040,107040
2001016000,116472,116472
2001017000,124856,124856
2001018000,132192,132264
2001019000,139528,139528
2001020000,146864,146864
2001021000,156296,156368
2001022000,163704,163704
2001023000,173136,173136
2001024000,181520,181520
2001025000,188976,188976
2001026000,191072,191072
2001027000,192120,192120
2001028000,194216,194216
2001029000,193752,193752
2001030000,191656,191656
2001031000,192240,192240
2001032000,189096,189096
2001033000,190704,190848
2001034000,191896,191896
2001035000,191896,191968
2001036000,190040,190040
2001037000,186896,187040
2001038000,183752,183752
2001039000,180608,180608
2001040000,178512,178584
2001041000,175928,175928
2001042000,172784,172784
2001043000,169640,169784
2001044000,166496,166496
2001045000,163352,163352
2001046000,160208,160208
2001047000,157064,157160
2001048000,153776,153776
2001049000,150632,150728
2001050000,147488,147488
2001051000,145392,145392
2001052000,142248,142248
2001053000,140224,140320
2001054000,137080,137152
2001055000,133936,134008
2001056000,130792,130792
2001057000,127648,129256
2001058000,125064,125064
2001059000,121920,122160
2001060000,119896,120456
2001061000,116752,116752
2001062000,113608,113608
2001063000,110464,110464
2001064000,107320,107320
2001065000,104176,104176
2001066000,101032,101032
2001067000,97888,99008
2001068000,94744,96352
2001069000,92160,95304
2001070000,89016,93592
2001071000,87552,90080
2001072000,84408,85456
2001073000,82384,82384
2001074000,80216,80776
2001075000,77072,77072
2001076000,73928,76096
2001077000,70784,71832
2001078000,68688,69736
2001079000,67784,68832
2001080000,64640,65688
2001081000,61496,61496
2001082000,59472,59568
2001083000,56328,56328
2001084000,53184,53184
2001085000,49456,49456
2001086000,46776,46776
2001087000,44192,44192
2001088000,41048,42096
2001089000,41048,43144
2001090000,39096,42312
2001091000,36512,37312
2001092000,33832,33832
2001093000,31736,32856
2001094000,30176,30176
2001095000,28568,28568
2001096000,26328,26328
2001097000,24232,24232
2001098000,22944,23600
2001099000,21992,21992
2001100000,19120,19120
2001101000,15272,15272
2001102000,12544,12544
2001103000,9744,9816
2001104000,6528,6600
2001105000,3384,4672
2001106000,1144,2992
2001107000,3144,5408
2001108000,5480,6600
2001109000,3384,3624
2001110000,2336,2408
2001119000,144,144
2001124000,96,96
2001126000,1288,1288
2001127000,2168,2168
2001128000,3240,3240
2001129000,2192,2192
2001130000,2096,2096
2001131000,2096,2096
2001132000,1048,2096
2001133000,2096,2096
2001134000,2240,2240
2001139000,1144,1144
2001141000,504,504
2001143000,144,144
2001144000,72,72
2001148000,96,96
2001151000,1048,1048
2001152000,1048,1048
2001153000,2096,2192
2001154000,1144,1144
2001159000,72,72
2001166000,96,168
2001167000,1048,1048
2001168000,240,312
2001171000,96,96
2001175000,1144,1144
2001182000,144,144
2001184000,3144,3144
2001185000,3288,3288
2001186000,4192,4192
2001187000,4192,4192
2001188000,2096,2096
2001189000,2528,2528
2001190000,96,96
2001192000,96,96
2001196000,72,72
2001199000,72,72
2001200000,72,72
2001201000,72,72
2001204000,1048,1048
2001205000,2192,2192
2001206000,240,240
2001207000,144,144
2001211000,144,144
2001215000,72,72
2001227000,72,72
2001230000,72,72
2001232000,144,144
2001233000,72,72
2001240000,1048,1048
2001241000,3144,3144
2001242000,1432,2480
2001243000,96,192
2001244000,1048,1048
2001246000,96,96
2001254000,96,96
2001255000,1144,1144
2001256000,1048,1048
2001257000,1944,1944
2001258000,3288,3360
2001259000,312,312
2001260000,240,240
2001261000,72,72
2001267000,72,72
2001268000,72,72
2001275000,72,72
2001278000,432,432
2001282000,72,72
2001293000,144,288
2001295000,96,96
2001297000,1048,1048
2001298000,2096,2096
2001299000,2096,2096
2001300000,240,240
2001302000,560,560
2001306000,72,72
2001309000,96,96
2001320000,72,72
2001325000,96,96
2001326000,96,168
2001332000,72,72
2001335000,1144,1144
2001337000,1048,1048
2001338000,1048,1048
2001339000,2096,2096
2001340000,4192,4192
2001341000,5800,5800
2001342000,9432,9432
2001343000,13624,13624
2001344000,15440,16488
2001345000,14392,16872
2001346000,11488,12992
2001347000,10536,12704
2001348000,7392,10536
2001349000,4864,5104
2001350000,4288,4288
2001351000,2240,2336
2001352000,2096,2192
2001353000,96,96
2001366000,144,216
2001370000,72,72
2001372000,72,72
2001374000,2192,2192
2001375000,240,240
2001380000,72,144
2001386000,1048,1048
2001387000,1048,1048
2001388000,1048,1120
2001389000,1048,1144
2001390000,1608,1608
2001395000,96,96
2001403000,3288,3288
2001404000,5384,5384
2001405000,5384,5384
2001406000,3528,3528
2001407000,240,240
2001410000,96,96
2001412000,72,72
2001414000,96,96
2001416000,96,96
2001418000,96,96
2001419000,72,72
2001424000,704,704
2001442000,144,144
2001446000,240,240
2001454000,168,168
2001456000,2192,2192
2001457000,2336,2432
2001459000,2096,2096
2001460000,1288,1288
2001463000,2096,2096
2001464000,4408,4648
2001465000,4336,4336
2001466000,2336,3456
2001482000,1120,1120
2001483000,704,704
2001488000,96,96
2001491000,2096,2096
2001492000,5384,5384
2001493000,6528,6528
2001494000,8480,9624
2001495000,11472,12616
2001496000,11472,11472
2001497000,9056,9056
2001498000,5912,5912
2001499000,3384,4504
2001500000,240,240
2001502000,6288,6288
2001503000,16280,16280
2001504000,24736,25168
2001505000,33120,33120
2001506000,41504,41504
2001507000,49888,49888
2001508000,55128,55128
2001509000,62952,62952
2001510000,69240,69800
2001511000,76016,76576
2001512000,84400,84400
2001513000,89640,90928
2001514000,98024,98024
2001515000,106408,106408
2001516000,112936,112936
2001517000,120272,120272
2001518000,127608,127608
2001519000,134944,134944
2001520000,142280,142280
2001521000,149616,149616
2001522000,158000,158000
2001523000,166384,166384
2001524000,174768,174768
2001525000,182664,182664
2001526000,190120,190120
2001527000,191752,191752
2001528000,191752,191752
2001529000,191752,191752
2001530000,192800,192800
2001531000,196016,196016
2001532000,197648,197648
2001533000,194648,194744
2001534000,191504,191504
2001535000,188848,189280
2001536000,186824,186896
2001537000,183680,183680
2001538000,180536,180536
2001539000,177952,177952
2001540000,175856,176904
2001541000,173832,173832
2001542000,172784,172784
2001543000,172880,173512
2001544000,173440,173440
2001545000,173680,173680
2001546000,173680,173680
2001547000,173680,173680
2001548000,173432,173432
2001549000,171408,171408
2001550000,168264,168264
2001551000,165120,165120
2001552000,161736,161736
2001553000,158592,158592
2001554000,155448,156496
2001555000,153352,154400
2001556000,150208,151256
2001557000,147064,148112
2001558000,143920,144968
2001559000,140776,140776
2001560000,137632,137632
2001561000,135048,135048
2001562000,131904,131904
2001563000,128760,128760
2001564000,125616,125616
2001565000,122472,122544
2001566000,124664,125712
2001567000,123128,123128
2001568000,121032,122080
2001569000,121032,121032
2001570000,118936,118936
2001571000,116032,116032
2001572000,116128,116128
2001573000,114032,114032
2001574000,113128,113128
2001575000,109984,109984
2001576000,107400,107400
2001577000,104256,104256
2001578000,101112,101672
